id,name,gpa,race,absence_rate,risk,income,lat,lng,grade_0,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,grade_14,grade_15,grade_16,grade_17,grade_18,grade_19,grade_20,grade_21,grade_22,grade_23,grade_24,grade_25,grade_26,grade_27
700000,Kyle Johnson,1.8588728497500002,East Asian,31,58.69171444999999,149540,34.756569948403886,-109.42261250708654,2.007210465,2.013601261,2.328796054,2.506311352,2.928837844,2.175710072,2.102891272,1.96351892,2.23460215,2.536150675,2.419918348,1.465460002,2.219682389,1.169578842,1.284926466,0.936804977,1.744376106,1.099664247,1.157568828,1.977280282,2.297615605,1.123704107,1.359044578,1.970477525,2.433182051,1.681992758,1.724063905,1.185468712
700001,Julia Bennett,2.4319362757857137,South Asian,0,45.95697164920636,42465,35.28329736656735,-110.70083189985473,2.610176688,2.035794997,2.925415297,2.452697618,2.72789677,2.46141997,1.851020073,2.1229739,3.077149064,2.430713753,1.937345918,1.606285026,1.856320208,1.478505979,1.707804582,2.096561175,2.195518386,1.890129737,1.992773438,2.629347953,2.907064543,2.616252876,2.848024961,3.564299921,2.857147464,3.171641297,3.102558659,2.941375469
700002,Jennifer Sims,2.1293211042857143,East Asian,65,52.68175323809523,493264,36.23063925970526,-109.58393238403013,1.944150403,2.372955962,2.747949328,2.431094963,2.073280008,1.695722218,2.395420195,2.663296506,2.734258941,2.981217279,2.625800195,2.17753782,1.928657596,1.967329968,2.006909029,1.937163206,2.585894158,1.679026916,1.97434291,1.551610888,2.140819727,1.672574818,2.321203796,1.700466752,2.233617111,1.29290871,2.513961551,1.271819966
700003,Darlene Martin,3.238261627857143,East Asian,36,28.03863049206349,209881,33.52816904859316,-111.05088742856483,3.802947411,3.6200913,3.022130822,3.469220969,3.397888976,3.812461507,3.858430456,3.855237718,3.293562792,3.173440783,3.79714692,4.061354929,3.738763866,3.905486979,3.712385707,3.456236053,2.905131142,4.056863496,3.156799858,2.26845709,1.812176176,2.465512504,3.285754976,2.436690272,2.304024777,2.812056077,2.371851702,2.819220322
700004,Hayley Lindsey,3.480024888678571,East Asian,58,22.666113584920637,41934,34.07843862610433,-111.62437586018336,3.847125498,3.358561374,3.363801482,3.392572155,3.278573013,2.645708189,3.32971707,3.18783109,3.590421366,3.029663149,3.675702124,3.595071289,3.753470696,3.745415275,3.147009957,3.795714861,3.396277599,3.20098937,3.259096214,3.432228438,3.426361433,3.237179891,3.904579152,3.29846562,3.936706036,4.04817811,4.020871421,3.543405011
700005,Patrick Brown,3.888078343392858,South Asian,9,13.598259035714264,152853,35.85354290412655,-109.66247237186074,3.659162087,4.231652809,3.792451441,3.870580124,3.49258786,3.891327265,3.450944653,3.728703952,3.887209561,3.884433938,3.807154418,3.936722512,4.357831821,4.156172141,3.612673081,3.762948474,4.576669477,4.203478582,4.031682196,4.507591634,3.62440882,3.778827984,3.995200169,3.319100511,4.003283919,4.143000461,4.079347321,3.081046404
700006,Amy Short,2.3318359446428567,East Asian,22,48.18142345238097,274396,36.127951192250734,-110.90262693671656,2.675232586,1.945840894,2.361055794,2.813173842,2.653423613,1.87782224,2.276830065,2.503769129,1.999149469,2.061073518,2.092781025,1.919708448,2.451144917,2.258287323,2.625732424,2.372250721,2.41053422,1.875082446,2.031492869,2.486647321,2.315653127,2.500622614,2.38032549,2.771087562,2.485732693,2.29868849,2.220327205,2.627936405
700007,Nathan Peters,4.009440422857142,South Asian,52,10.90132393650795,232837,34.36902721483152,-109.20370194556196,3.55276043,4.032728486,3.892030361,4.266937358,3.555032609,3.178775333,3.413945445,3.494387427,3.148031157,3.505461495,3.933384454,3.942057758,4.749645467,4.7171542,4.518637056,4.417049832,4.023421288,3.907175719,3.595064327,4.158953194,3.97098647,4.147084625,4.17304989,4.09048061,4.960424685,4.559764202,4.314999902,4.04490806
700008,Nicole Jacobs,3.3262567082142858,Hispanic,36,26.083184261904762,277191,33.755313181618156,-110.23702332484245,3.348453917,3.802582604,3.581944444,3.687986661,3.534796537,4.096041961,3.474673015,3.908773551,3.928029577,3.122111496,3.443915661,3.26951816,2.395535673,3.0577758,2.853686329,3.089907333,2.432246909,2.957246584,3.472585156,3.395345931,4.192081736,3.230818265,3.410666776,2.802011614,2.870771707,3.273583849,3.460794563,3.041302021
700009,Joanne Clark,4.59143915867857,White,26,-2.031981303968223,302491,35.48623420971886,-111.28249046059436,4.972929022,4.177103879,4.176309966,4.210482155,3.961787632,4.853619129,4.019701462,4.129072621,3.930116891,4.129680686,4.326649114,4.014783583,5.129060004,5.201916275,4.894746807,4.853621909,4.685113155,4.33562235,4.565431876,4.661753433,4.528416964,4.759511414,4.640486087,5.091310505,4.865759114,5.060198249,5.28108959,5.104022571
